label_id,label_name,user_id,value
1,feature,25,2
1,feature,100,1
1,feature,4807,1
1,feature,76,2
1,feature,3526,1
1,feature,5986,1
1,feature,97,2
1,feature,6005,1
1,feature,6006,1
1,feature,6140,1
1,feature,85,1
1,feature,3,1
1,feature,6155,1
1,feature,1298,1
1,feature,102,2
1,feature,6192,1
1,feature,4858,1
1,feature,3148,1
1,feature,5902,1
1,feature,3453,1
1,feature,3826,1
1,feature,1311,3
1,feature,6167,1
1,feature,6185,2
1,feature,104,1
1,feature,6441,1
1,feature,1765,1
1,feature,2838,1
1,feature,6458,1
1,feature,6545,1
1,feature,98,1
1,feature,6466,1
1,feature,18,11
1,feature,6169,1
1,feature,1987,1
1,feature,2060,1
1,feature,6353,1
1,feature,16,5
1,feature,954,10
1,feature,20,9
1,feature,2036,1
1,feature,15,108
1,feature,23,2
1,feature,2063,1
1,feature,14,134
1,feature,4346,1
1,feature,4348,1
1,feature,4409,1
1,feature,3522,1
1,feature,4787,1
1,feature,4863,1
1,feature,68,3
1,feature,4864,1
1,feature,152,1
1,feature,50,3
1,feature,2837,2
1,feature,81,2
1,feature,92,2
1,feature,44,2
1,feature,1011,1
1,feature,1038,1
1,feature,1112,1
1,feature,4991,1
1,feature,2709,1
1,feature,1059,1
1,feature,118,3
1,feature,4044,1
1,feature,5036,5
1,feature,24,8
1,feature,3518,1
1,feature,2439,1
1,feature,28,6
1,feature,61,1
1,feature,1849,3
1,feature,933,2
1,feature,12,2
1,feature,2114,3
1,feature,481,2
1,feature,3527,1
1,feature,1024,1
1,feature,3528,1
1,feature,145,1
1,feature,63,1
1,feature,947,1
1,feature,52,1
1,feature,35,7
1,feature,1115,1
1,feature,5935,1
1,feature,5937,1
1,feature,5938,1
1,feature,33,1
1,feature,1280,1
1,feature,1079,3
1,feature,5946,1
1,feature,84,9
1,feature,21,6
